Journals,name,count,url,num_pages,is_completed
"Econometrica, Econometric Society",Econometrica,7531,,151,TRUE
"American Economic Review, American Economic Association",American Economic Review,25244,,505,FALSE
"Journal of Political Economy, University of Chicago Press",Journal of Political Economy,12096,,242,FALSE
"The Quarterly Journal of Economics, Oxford University Press",Quarterly Journal of Economics,4773,,96,TRUE
"Journal of Financial Economics, Elsevier",Journal of Financial Economics,3059,,62,TRUE
"Journal of Economic Literature, American Economic Association",Journal of Economic Literature,7979,,160,TRUE
"Review of Financial Studies, Society for Financial Studies",Review of Financial Studies,2185,,44,TRUE
"Review of Economic Studies, Oxford University Press",Review of Economic Studies,3383,,68,TRUE
"Journal of Finance, American Finance Association",Journal of Finance,8396,,168,TRUE
"Journal of Economic Perspectives, American Economic Association",Journal of Economic Perspectives,1867,,38,TRUE
"Journal of Economic Growth, Springer",Journal of Economic Growth,285,,6,TRUE
"Journal of Monetary Economics, Elsevier",Journal of Monetary Economics,2979,,60,TRUE
"The Review of Economics and Statistics, MIT Press",Review of Economics and Statistics,0,,0,FALSE
"American Economic Journal: Macroeconomics, American Economic Association",American Economic Journal: Macroeconomics,0,,0,FALSE
"Journal of Econometrics, Elsevier",Journal of Econometrics,0,,0,FALSE
"Journal of Labor Economics, University of Chicago Press",Journal of Labor Economics,0,,0,FALSE
"American Economic Journal: Applied Economics, American Economic Association",American Economic Journal: Applied Economics,0,,0,FALSE
"Economic Journal, Royal Economic Society",Economic Journal,0,,0,FALSE
"Journal of International Economics, Elsevier",Journal of International Economics,0,,0,FALSE
"Journal of Public Economics, Elsevier",Journal of Public Economics,0,,0,FALSE
"RAND Journal of Economics, RAND Corporation",RAND Journal of Economics,0,,0,FALSE
"Journal of the European Economic Association, European Economic Association",Journal of the European Economic Association,0,,0,FALSE
"Journal of Development Economics, Elsevier",Journal of Development Economics,0,,0,FALSE
"Journal of Accounting and Economics, Elsevier",Journal of Accounting & Economics,0,,0,FALSE
"Journal of Banking & Finance, Elsevier",Journal of Banking & Finance,0,,0,FALSE
"Journal of Applied Econometrics, John Wiley & Sons, Ltd.",Journal of Applied Econometrics,0,,0,FALSE
"Energy Policy, Elsevier",Energy Policy,0,,0,FALSE
"Journal of Business & Economic Statistics, Taylor & Francis Journals",Journal of Business & Economic Statistics,0,,0,FALSE
"Annual Review of Economics, Annual Reviews",Annual Review of Economics,0,,0,FALSE
"European Economic Review, Elsevier",European Economic Review,0,,0,FALSE
"Journal of Economic Theory, Elsevier",Journal of Economic Theory,0,,0,FALSE
"Management Science, INFORMS",Management Science,0,,0,FALSE
"Journal of Financial Intermediation, Elsevier",Journal of Financial Intermediation,0,,0,FALSE
"Journal of Human Resources, University of Wisconsin Press",Journal of Human Resources,0,,0,FALSE
"American Economic Journal: Economic Policy, American Economic Association",American Economic Journal: Economic Policy,0,,0,FALSE
"Experimental Economics, Springer;Economic Science Association",Experimental Economics,0,,0,FALSE
"Journal of International Business Studies, Palgrave Macmillan;Academy of International Business",Journal of International Business Studies,0,,0,FALSE
"International Economic Review, Department of Economics, University of Pennsylvania and Osaka University Institute of Social and Economic Research Association",International Economic Review,0,,0,FALSE
"Journal of Money, Credit and Banking, Blackwell Publishing","Journal of Money, Credit & Banking",0,,0,FALSE
"Review of Economic Dynamics, Elsevier for the Society for Economic Dynamics",Review of Economic Dynamics,0,,0,FALSE
"Journal of Law and Economics, University of Chicago Press",Journal of Law & Economics,0,,0,FALSE
"Energy Economics, Elsevier",Energy Economics,0,,0,FALSE
"Journal of Business Venturing, Elsevier",Journal of Business Venturing,0,,0,FALSE
"The Journal of Business, University of Chicago Press",Journal of Business,0,,0,FALSE
"Journal of Environmental Economics and Management, Elsevier",Journal of Environmental Economics and Management,0,,0,FALSE
"Economics Letters, Elsevier",Economics Letters,0,,0,FALSE
"Journal of Economic Behavior & Organization, Elsevier",Journal of Economic Behavior & Organization,0,,0,FALSE
"Applied Energy, Elsevier",Applied Energy,0,,0,FALSE
"Ecological Economics, Elsevier",Ecological Economics,0,,0,FALSE
"Journal of Urban Economics, Elsevier",Journal of Urban Economics,0,,0,FALSE
"Journal of Financial and Quantitative Analysis, Cambridge University Press",Journal of Financial and Quantitative Analysis,0,,0,FALSE
"Journal of Risk and Uncertainty, Springer",Journal of Risk and Uncertainty,0,,0,FALSE
"Journal of Economic Dynamics and Control, Elsevier",Journal of Economic Dynamics & Control,0,,0,FALSE
"Journal of Health Economics, Elsevier",Journal of Health Economics,0,,0,FALSE
"Journal of Law, Economics, and Organization, Oxford University Press","Journal of Law, Economics, & Organization",0,,0,FALSE
"Journal of Financial Markets, Elsevier",Journal of Financial Markets,0,,0,FALSE
"Journal of Accounting Research, Wiley Blackwell",Journal of Accounting Research,0,,0,FALSE
"Games and Economic Behavior, Elsevier",Games and Economic Behavior,0,,0,FALSE
"Labour Economics, Elsevier",Labour Economics,0,,0,FALSE
"Econometrics Journal, Royal Economic Society",Econometrics Journal,0,,0,FALSE
"Economic Policy, CEPR;CES;MSH",Economic Policy,0,,0,FALSE
"American Political Science Review, Cambridge University Press",American Political Science Review,0,,0,FALSE
"Journal of Empirical Finance, Elsevier",Journal of Empirical Finance,0,,0,FALSE
"Journal of Corporate Finance, Elsevier",Journal of Corporate Finance,0,,0,FALSE
"Review of Finance, European Finance Association",Review of Finance,0,,0,FALSE
