Journals,name,count,url,num_pages,is_completed
"Econometrica, Econometric Society",Econometrica,7531,,151,True
"American Economic Review, American Economic Association",American Economic Review,25244,,505,True
"Journal of Political Economy, University of Chicago Press",Journal of Political Economy,12096,,242,True
"The Quarterly Journal of Economics, Oxford University Press",Quarterly Journal of Economics,4773,,96,True
"Journal of Financial Economics, Elsevier",Journal of Financial Economics,3059,,62,True
"Journal of Economic Literature, American Economic Association",Journal of Economic Literature,7979,,160,True
"Review of Financial Studies, Society for Financial Studies",Review of Financial Studies,2185,,44,True
"Review of Economic Studies, Oxford University Press",Review of Economic Studies,3383,,68,True
"Journal of Finance, American Finance Association",Journal of Finance,8396,,168,True
"Journal of Economic Perspectives, American Economic Association",Journal of Economic Perspectives,1867,,38,True
"Journal of Economic Growth, Springer",Journal of Economic Growth,285,,6,True
"Journal of Monetary Economics, Elsevier",Journal of Monetary Economics,2979,,60,True
"The Review of Economics and Statistics, MIT Press",Review of Economics and Statistics,5765,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=26741&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,116,True
"American Economic Journal: Macroeconomics, American Economic Association",American Economic Journal: Macroeconomics,400,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=33050&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,8,True
"Journal of Econometrics, Elsevier",Journal of Econometrics,4391,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=33459&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,88,True
"Journal of Labor Economics, University of Chicago Press",Journal of Labor Economics,1239,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=37875&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,25,True
"American Economic Journal: Applied Economics, American Economic Association",American Economic Journal: Applied Economics,487,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=39123&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,10,True
"Economic Journal, Royal Economic Society",Economic Journal,17752,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=39621&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,356,False
"Journal of International Economics, Elsevier",Journal of International Economics,3379,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=39622&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,68,True
"Journal of Public Economics, Elsevier",Journal of Public Economics,3965,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=43035&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,80,True
"RAND Journal of Economics, RAND Corporation",RAND Journal of Economics,1522,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=47028&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,31,True
"Journal of the European Economic Association, European Economic Association",Journal of the European Economic Association,1048,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=48573&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,21,True
"Journal of Development Economics, Elsevier",Journal of Development Economics,3460,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=49634&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,70,True
"Journal of Accounting and Economics, Elsevier",Journal of Accounting & Economics,1119,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=53067&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,23,True
"Journal of Banking & Finance, Elsevier",Journal of Banking & Finance,5672,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=54189&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,114,True
"Journal of Applied Econometrics, John Wiley & Sons, Ltd.",Journal of Applied Econometrics,1727,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=59834&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,35,True
"Energy Policy, Elsevier",Energy Policy,13697,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=61548&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,274,False
"Journal of Business & Economic Statistics, Taylor & Francis Journals",Journal of Business & Economic Statistics,2062,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=62154&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,42,True
"Annual Review of Economics, Annual Reviews",Annual Review of Economics,320,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=64199&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,7,True
"European Economic Review, Elsevier",European Economic Review,4380,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=64514&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,88,True
"Journal of Economic Theory, Elsevier",Journal of Economic Theory,4718,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=68782&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,95,True
"Management Science, INFORMS",Management Science,7768,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=73579&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,156,True
"Journal of Financial Intermediation, Elsevier",Journal of Financial Intermediation,613,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=81153&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,13,True
"Journal of Human Resources, University of Wisconsin Press",Journal of Human Resources,2198,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=81751&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,44,True
"American Economic Journal: Economic Policy, American Economic Association",American Economic Journal: Economic Policy,507,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=83945&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,11,True
"Experimental Economics, Springer;Economic Science Association",Experimental Economics,645,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=84463&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,13,True
"Journal of International Business Studies, Palgrave Macmillan;Academy of International Business",Journal of International Business Studies,2457,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=86301&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,50,True
"International Economic Review, Department of Economics, University of Pennsylvania and Osaka University Institute of Social and Economic Research Association",International Economic Review,2539,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=88746&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,51,True
"Journal of Money, Credit and Banking, Blackwell Publishing","Journal of Money, Credit and Banking",3339,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=91325&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,67,True
"Review of Economic Dynamics, Elsevier for the Society for Economic Dynamics",Review of Economic Dynamics,1000,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=94595&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,20,True
